id,label
Raphaël Varane,Varane
Benjamin Pavard,Pavard
Kylian Mbappé Lottin,Mbappé
Samuel Yves Umtiti,Umtiti
Lucas Hernández Pi,Hernández
Paul Pogba,Pogba
N''Golo Kanté,Kanté
Hugo Lloris,Lloris
Blaise Matuidi,Matuidi(s86)
Antoine Griezmann,Griezmann
Olivier Giroud,Giroud(s85)
Steven N''Kemboanza Mike Christopher Nzonzi,Nzonzi(e85)
Corentin Tolisso,Tolisso(e86)
