id,label
Corentin Tolisso,Tolisso(s78)
Raphaël Varane,Varane
Benjamin Pavard,Pavard
Hugo Lloris,Lloris
Samuel Yves Umtiti,Umtiti
Paul Pogba,Pogba
Antoine Griezmann,Griezmann(s70)
N''Golo Kanté,Kanté
Lucas Hernández Pi,Hernández
Ousmane Dembélé,Dembélé(s70)
Kylian Mbappé Lottin,Mbappé
Nabil Fekir,Fekir(e70)
Blaise Matuidi,Matuidi(e78)
Olivier Giroud,Giroud(e70)
