id,label
Raphaël Varane,Varane
Benjamin Pavard,Pavard
Kylian Mbappé Lottin,Mbappé(s88)
N''Golo Kanté,Kanté
Olivier Giroud,Giroud
Samuel Yves Umtiti,Umtiti
Lucas Hernández Pi,Hernández
Corentin Tolisso,Tolisso(s80)
Paul Pogba,Pogba
Antoine Griezmann,Griezmann(s93)
Hugo Lloris,Lloris
Steven N''Kemboanza Mike Christopher Nzonzi,Nzonzi(e80)
Ousmane Dembélé,Dembélé(e88)
Nabil Fekir,Fekir(e93)
