id,label
Raphaël Varane,Varane
Samuel Yves Umtiti,Umtiti
Antoine Griezmann,Griezmann(s80)
Benjamin Pavard,Pavard
N''Golo Kanté,Kanté
Kylian Mbappé Lottin,Mbappé(s75)
Hugo Lloris,Lloris
Lucas Hernández Pi,Hernández
Paul Pogba,Pogba(s89)
Blaise Matuidi,Matuidi
Olivier Giroud,Giroud
Ousmane Dembélé,Dembélé(e75)
Nabil Fekir,Fekir(e80)
