id,label,lattitude,longitude
Raphaël Varane,Varane,42,58
Samuel Yves Umtiti,Umtiti,38,18
Antoine Griezmann,Griezmann(s80),63,43
Benjamin Pavard,Pavard,54,69
N''Golo Kanté,Kanté,61,51
Kylian Mbappé Lottin,Mbappé(s75),83,63
Hugo Lloris,Lloris,12,44
Lucas Hernández Pi,Hernández,67,10
Paul Pogba,Pogba(s89),63,30
Blaise Matuidi,Matuidi,49,13
Olivier Giroud,Giroud,86,31
Ousmane Dembélé,Dembélé(e75),79,62
Nabil Fekir,Fekir(e80),70,60
