id,label,lattitude,longitude
Raphaël Varane,Varane,43,56
Benjamin Pavard,Pavard,64,70
Kylian Mbappé Lottin,Mbappé,79,67
Samuel Yves Umtiti,Umtiti,42,23
Lucas Hernández Pi,Hernández,68,9
Paul Pogba,Pogba,63,52
N''Golo Kanté,Kanté,55,34
Hugo Lloris,Lloris,12,37
Blaise Matuidi,Matuidi(s86),62,17
Antoine Griezmann,Griezmann,76,39
Olivier Giroud,Giroud(s85),72,33
Steven N''Kemboanza Mike Christopher Nzonzi,Nzonzi(e85),57,31
Corentin Tolisso,Tolisso(e86),87,29
